seriesuid,coordX,coordY,coordZ,calcification_label
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-108.0,80.7,-221.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,130.0,64.7,-205.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,10.0,12.7,-187.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-72.0,28.7,-187.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-108.0,-55.3,-171.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-74.0,-3.3,-171.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-56.0,-71.3,-155.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,146.0,12.7,-155.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-24.0,-19.3,-153.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,130.0,80.7,-137.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-6.0,-53.3,-69.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-108.0,-53.3,-53.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-124.0,12.7,-53.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-6.0,-3.3,-49.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,-6.0,-37.3,-205.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.163931625580639955914619627409,10.0,-5.3,-135.56,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,-104.707,-103.707,-284.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,-18.707,-121.707,-268.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,47.293,-121.707,-268.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,-104.707,-205.707,-266.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,47.293,-189.707,-266.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,-20.707,-189.707,-248.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,13.293,-139.707,-182.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,13.293,-87.707,-182.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,-4.707,-171.707,-148.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,-102.707,-155.707,-334.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229096941293122177107846044795,-2.707,-105.707,-182.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.161633200801003804714818844696,76.2,38.0,-205.2,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.161633200801003804714818844696,-75.8,38.0,-187.2,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.161633200801003804714818844696,8.2,-28.0,-85.2,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.161633200801003804714818844696,10.2,-28.0,-137.2,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,79.371,-132.629,-279.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,-106.629,-114.629,-261.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,-106.629,-200.629,-243.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,-140.629,-248.629,-229.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,45.371,-166.629,-193.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,29.371,-114.629,-161.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,-140.629,-198.629,-143.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,-140.629,-166.629,-143.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,11.371,-198.629,-125.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,95.371,-114.629,-347.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,-106.629,-166.629,-313.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,-90.629,-132.629,-313.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,11.371,-182.629,-211.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,67.303,-214.697,-346.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,-82.697,-112.697,-314.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,51.303,-214.697,-296.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,1.303,-146.697,-296.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,-16.697,-214.697,-262.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,1.303,-130.697,-178.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,-0.697,-196.697,-128.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,-84.697,-196.697,-380.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,17.303,-212.697,-262.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.803987517543436570820681016103,1.303,-146.697,-244.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.253283426904813468115158375647,62.4,41.9,-249.48,0
